supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Tesco_price,Sains_price
Morrisons,10.0,kg,Rajah Chilli Powder,20240117,food_cupboard,False,7.5,5.0,4.0
Morrisons,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240117,drinks,False,6.0,6.0,6.0
Morrisons,1.6,l,Fruit Shoot Apple Kids Juice Drink,20240117,drinks,False,2.2,2.2,1.6
Morrisons,8.5,l,Bottlegreen Elderflower Cordial,20240117,drinks,False,8.0,8.5,8.5
Morrisons,1.4,l,Fanta Orange,20240117,drinks,False,1.0,2.24,2.08
Morrisons,8.5,kg,M&M's Milk Chocolate Bites Pouch Bag,20240117,food_cupboard,False,12.0,11.9,13.2
Morrisons,1.4,l,Fanta Fruit Twist,20240117,drinks,False,1.0,2.2,2.45
Morrisons,3.0,l,Bundaberg Ginger Beer,20240117,drinks,False,3.2,4.05,3.3
Morrisons,1.1,l,Pepsi Max Lime No Sugar Cola Cans,20240117,drinks,False,1.5,1.5,1.7
Morrisons,15.6,kg,Pip & Nut Smooth Almond Butter,20240117,food_cupboard,False,15.6,20.0,16.3
Morrisons,2.0,l,Tropicana Pressed Apple Fruit Juice,20240117,fresh_food,False,2.8,2.7,2.2
Morrisons,5.5,l,Tropicana Pure Orange & Mango Fruit Juice,20240117,fresh_food,False,2.3,2.7,4.3
Morrisons,8.7,l,Naked Green Machine Super Smoothie,20240117,fresh_food,False,2.7,5.3,5.6999999999999975
Morrisons,2.4,l,Relentless Origin Energy Drink,20240117,drinks,False,2.05,2.25,2.2
Morrisons,5.1,l,Red Bull Energy Drink,20240117,drinks,False,4.3,4.75,5.166666666666667
Morrisons,8.5,kg,Lurpak Slightly Salted Butter,20240117,fresh_food,False,10.75,10.75,10.75
Morrisons,1.5,l,Fanta Lemon,20240117,drinks,False,1.4,1.933333333333333,2.25
Morrisons,10.0,kg,Anchor Salted Butter,20240117,fresh_food,False,8.0,10.0,8.0
Morrisons,2.1,kg,Salaam Basmati Rice,20240117,food_cupboard,False,1.5,2.2,1.25
Morrisons,3.7,kg,Dolmio Lasagne Red Tomato Sauce,20240117,food_cupboard,False,3.7,3.6,4.35
Morrisons,8.5,kg,Lurpak Unsalted Butter,20240117,fresh_food,False,10.75,10.75,10.75
Morrisons,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240117,frozen,False,12.2,11.43,11.43
Morrisons,10.34,kg,Dairylea Cheese Spread,20240117,fresh_food,False,10.93,11.725,10.89
Morrisons,616.7,kg,Sterling Rolling Tobacco Essential,20240117,drinks,False,616.7,612.85,18.5
Morrisons,7.3,kg,Pukka Steak Slice,20240117,fresh_food,False,10.3,10.3,7.4
Morrisons,2.56,l,Coors,20240117,drinks,False,2.53,2.455,2.52
Morrisons,2.0,kg,Onken Natural Set Yogurt,20240117,fresh_food,False,2.5,3.2,2.8
Morrisons,11.5,kg,Very Lazy Cajun Paste,20240117,food_cupboard,False,13.0,15.0,15.4
Morrisons,13.75,kg,Yeo Valley Organic Salted Butter,20240117,fresh_food,False,11.0,12.0,14.25
Morrisons,14.63,l,Barossa Ink Shiraz,20240117,drinks,False,146.63,14.63,14.63
Morrisons,11.7,kg,Ginsters Chicken Tikka Slice,20240117,fresh_food,False,11.5,11.5,11.5
Morrisons,7.3,kg,Pukka Chicken & Bacon Slice,20240117,fresh_food,False,10.3,10.3,7.4
Morrisons,7.92,kg,Blue Dragon Satay Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,7.3,kg,Pukka Pepperoni Pizza Slice,20240117,fresh_food,False,10.3,10.3,7.4
Morrisons,7.3,kg,Pukka All Day Breakfast Slice,20240117,fresh_food,False,10.3,10.3,7.4
Morrisons,15.88,kg,Paxo Sage & Onion Stuffing Mix,20240117,food_cupboard,False,15.88,12.95,13.283333333333333
Morrisons,7.9,kg,Blue Dragon Hoisin & Garlic Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,11.8,kg,Colman's Tartare Sauce,20240117,food_cupboard,False,8.3,11.8,11.8
Morrisons,10.3,l,Lea & Perrins Worcestershire Sauce,20240117,food_cupboard,False,9.5,10.5,10.8
Morrisons,7.9,kg,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,10.5,kg,Bisto Reduced Salt Chicken Gravy Granules,20240117,food_cupboard,False,14.7,16.3,14.7
Morrisons,7.9,kg,Blue Dragon Chow Mein Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,10.3,kg,Princes Corned Beef,20240117,food_cupboard,False,9.6,12.166666666666664,11.933333333333332
Morrisons,2.5,kg,Birds Eye Garden Peas,20240117,frozen,False,2.31,3.526666666666667,3.616666666666666
Morrisons,14.7,kg,Walkers Cheese & Onion Multipack Crisps,20240117,food_cupboard,False,10.5,11.75,11.0
Morrisons,0.7,kg,Elephant Atta Medium Chapatti Flour,20240117,food_cupboard,False,1.67,0.97,0.7
Morrisons,4.2,kg,Heinz Oxtail Soup,20240117,food_cupboard,False,4.2,4.2,2.5
Morrisons,45.8,kg,Kiddylicious Veggie Straws,20240117,baby_products,False,45.8,64.58500000000001,56.06666666666666
Morrisons,4.2,kg,Heinz Vegetable Soup,20240117,food_cupboard,False,4.2,4.2,3.3
Morrisons,5.0,kg,Heinz Tomato Ketchup,20240117,food_cupboard,False,4.9,3.9,5.7333333333333325
Morrisons,2.67,kg,Batchelors Original Mushy Peas,20240117,food_cupboard,False,1.94,1.97,1.67
Morrisons,7.2,kg,Arla Protein Blueberry Yogurt,20240117,fresh_food,False,5.5,6.2,6.3
Morrisons,4.1,kg,Maggi Authentic Indian Tamarind Sauce,20240117,food_cupboard,False,5.3,5.3,5.3
Morrisons,4.39,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240117,food_cupboard,False,4.39,3.35,1.88
Morrisons,4.2,kg,Heinz Chicken Noodle Soup,20240117,food_cupboard,False,4.2,4.2,2.5
Morrisons,3.49,kg,Bakers Meaty Meals Adult Small Dry Dog Food Beef,20240117,pets,False,4.08,4.0,4.35
Morrisons,4.2,kg,Heinz Minestrone Soup,20240117,food_cupboard,False,4.2,4.2,4.3
Morrisons,3.9,kg,Heinz Seriously Good Mayonnaise,20240117,food_cupboard,False,4.300000000000002,4.4,6.466666666666666
Morrisons,4.7,kg,Cofresh Gujarati Mix,20240117,food_cupboard,False,4.6,3.0,4.0
Morrisons,12.9,kg,Quaker Oat So Simple Original Porridge Sachets,20240117,food_cupboard,False,13.0,13.0,10.0
Morrisons,8.2,l,Haagen-Dazs Vanilla Ice Cream,20240117,frozen,False,8.1,11.7,11.2
Morrisons,8.5,kg,Loyd Grossman Tomato & Basil Pasta Sauce,20240117,food_cupboard,False,6.8,7.15,5.7
Morrisons,2.7,l,Naked Blue Machine Super Smoothie,20240117,drinks,False,2.7,5.3,5.6999999999999975
Morrisons,8.2,l,Haagen-Dazs Salted Caramel Ice Cream,20240117,frozen,False,8.1,11.7,11.2
Morrisons,2.2,l,Innocent Tropical Juice,20240117,drinks,False,2.2,3.15,3.3
Morrisons,4.2,kg,Heinz Spring Vegetable Soup,20240117,food_cupboard,False,4.2,4.2,4.3
Morrisons,3.49,kg,Bakers Meaty Meals Adult Dry Dog Food Beef,20240117,pets,False,4.08,2.87,2.94
Morrisons,10.5,kg,Bisto Reduced Salt Gravy Granules,20240117,food_cupboard,False,14.7,13.7,11.6
Morrisons,4.2,kg,Heinz Lentil Soup,20240117,food_cupboard,False,4.2,4.2,4.3
Morrisons,8.2,l,Haagen-Dazs Belgian Chocolate Ice Cream,20240117,frozen,False,8.1,11.7,11.2
Morrisons,12.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240117,free-from,False,11.0,12.0,12.0
Morrisons,2.5,l,Monster Energy Drink,20240117,drinks,False,2.4,3.25,2.8666666666666667
Morrisons,10.0,l,Bombay Sapphire Gin & Tonic,20240117,drinks,False,10.0,9.6,9.2
Morrisons,8.5,kg,Loyd Grossman Tomato & Chilli Pasta Sauce,20240117,food_cupboard,False,6.8,7.15,5.7
Morrisons,10.5,kg,Walkers Classic Variety Multipack Crisps,20240117,food_cupboard,False,10.5,10.65,10.433333333333334
Morrisons,4.0,l,Jimmy's Iced Coffee Mocha,20240117,drinks,False,7.3,7.3,7.6
Morrisons,9.1,kg,Maynards Bassetts Jelly Babies,20240117,food_cupboard,False,7.6,9.1,9.1
Morrisons,5.8,kg,HP Brown Sauce,20240117,food_cupboard,False,6.5,5.8,9.0
Morrisons,9.1,kg,Maynards Bassetts Wine Gums,20240117,food_cupboard,False,7.6,9.1,8.5
Morrisons,11.1,kg,Cadbury Dairy Milk Whole Nut Chocolate Bar,20240117,food_cupboard,False,11.2,11.1,11.2
Morrisons,4.2,kg,Heinz Beef Broth Soup,20240117,food_cupboard,False,4.2,4.2,2.5
Morrisons,3.7,kg,Heinz Seriously Good Light Mayonnaise,20240117,food_cupboard,False,4.2,4.9,6.4
Morrisons,15.0,kg,Quorn Vegan Chicken Free Slices,20240117,fresh_food,False,21.9,26.0,17.5
Morrisons,4.41,kg,McCain Potato Smiles,20240117,food_cupboard,False,5.51,5.51,4.41
Morrisons,13.4,kg,Soreen Lift Bars Blueberry,20240117,bakery,False,0.38,14.6,0.56
Morrisons,6.5,kg,Swizzels Luscious Lollies,20240117,food_cupboard,False,7.7,5.7,7.1
Morrisons,3.2,l,Tango Orange Original Bottle,20240117,drinks,False,3.1,2.05,3.2
Morrisons,13.4,kg,Soreen Lift Bars Raspberry & Vanilla,20240117,bakery,False,0.38,14.6,0.56
Morrisons,9.9,l,Lee Kum Kee Premium Dark Soy Sauce,20240117,food_cupboard,False,9.3,7.3,4.6
Morrisons,28.7,kg,Quaker Oat So Simple Original Porridge Pot,20240117,food_cupboard,False,28.7,28.9,21.1
Morrisons,5.0,kg,Ambrosia Light Rice Pudding,20240117,food_cupboard,False,5.0,6.3,5.9
Morrisons,5.87,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240117,frozen,False,5.88,5.88,4.41
Morrisons,0.4,unit,Maltesers Cake Bars,20240117,bakery,False,0.4,0.46,0.45
Morrisons,11.7,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240117,frozen,False,11.6,11.7,8.1
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Seaside Mix,20240117,pets,False,19.0,15.415,20.5
Morrisons,9.9,l,Lee Kum Kee Premium Light Soy Sauce,20240117,food_cupboard,False,9.3,7.3,4.6
Morrisons,15.4,kg,Dr. Oetker Liquid Glucose,20240117,free-from,False,15.4,15.4,8.9
Morrisons,81.4,l,Deep Heat Muscle Rescue Heat Spray,20240117,health_products,False,69.0,81.4,69.0
Morrisons,6.9,kg,Ginsters Chicken & Bacon Pasty,20240117,fresh_food,False,6.9,10.8,6.9
Morrisons,1.6,l,Fruit Shoot Orange Kids Juice Drink,20240117,drinks,False,2.2,2.1333333333333333,2.275
Morrisons,20.0,kg,Peperami Firestick,20240117,fresh_food,False,22.5,30.0,20.0
Morrisons,6.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240117,drinks,False,6.0,6.0,6.0
Morrisons,3.74,kg,Birds Eye Petits Pois,20240117,frozen,False,4.59,3.8,4.125
Morrisons,1.4,l,San Pellegrino Sparkling Natural Mineral Water,20240117,drinks,False,1.4,1.8666666666666665,1.3
Morrisons,2.0,l,Relentless Raspberry Zero Energy Drink,20240117,drinks,False,2.5,2.5,2.4
Morrisons,7.1,kg,Morliny Frankfurters,20240117,food_cupboard,False,7.0,7.1,7.0
Morrisons,10.0,kg,Tilda Kids Sunshine Vegetable Rice,20240117,baby_products,False,10.0,10.0,8.0
Morrisons,8.3,kg,Jordans Frusli Juicy Red Berry Chewy Cereal Bars,20240117,food_cupboard,False,6.4,11.1,12.8
Morrisons,4.98,kg,Heinz Macaroni Cheese,20240117,food_cupboard,False,7.0,5.0,5.565
Morrisons,4.0,l,Jimmy's Iced Coffee Original,20240117,fresh_food,False,7.3,7.3,7.6
Morrisons,5.53,kg,Sharwood's Fine Egg Noodles,20240117,food_cupboard,False,5.53,8.85,11.1
Morrisons,6.7,kg,Pip & Nut Crunchy Peanut Butter,20240117,food_cupboard,False,7.0,10.3,6.75
Morrisons,13.33,l,Mr Muscle Oven Cleaner,20240117,household,False,13.33,10.0,13.33
Morrisons,6.95,kg,Heinz Spaghetti Bolognese,20240117,food_cupboard,False,7.0,5.0,5.565
Morrisons,4.45,kg,Birds Eye Supersweet Sweetcorn,20240117,frozen,False,4.22,4.45,4.22
Morrisons,1.6,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240117,drinks,False,2.2,2.35,2.05
Morrisons,73.3,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240117,baby_products,False,88.3,116.67,88.3
Morrisons,155.0,kg,Metanium Nappy Rash Ointment,20240117,baby_products,False,155.0,155.0,150.0
Morrisons,5.0,kg,Dolmio Bolognese Chunky Mushroom Pasta Sauce,20240117,food_cupboard,False,3.5,5.0,3.5
Morrisons,3.27,l,Shaken Udder Chocolush Milkshake,20240117,drinks,False,3.3,4.8,3.75
Morrisons,13.0,kg,Prymat Chicken Seasoning,20240117,food_cupboard,False,13.0,13.0,13.3
Morrisons,50.0,kg,Cherry Blossom Shoe Polish Black,20240117,household,False,43.75,31.2,2.5
Morrisons,8.3,kg,Aunt Bessie's Jam Roly Poly,20240117,frozen,False,6.3,6.7,6.7
Morrisons,6.2,l,Blue Dragon Coconut Milk,20240117,food_cupboard,False,6.2,6.25,4.4
Morrisons,1.9,l,Schweppes Pink Soda,20240117,drinks,False,1.7,1.8,3.1
Morrisons,32.7,l,Benylin Dry & Tickly Cough Syrup,20240117,health_products,False,30.0,33.35,33.835
Morrisons,4.82,l,Shaken Udder Vanillalicious Milkshake,20240117,drinks,False,3.3,3.3,3.75
Morrisons,400.0,kg,Canescool Soothing Cream Gel,20240117,health_products,False,400.0,400.0,403.3
Morrisons,3.7,kg,Dolmio Bolognese Smooth Tomato Pasta Sauce,20240117,food_cupboard,False,3.7,4.3,3.6
Morrisons,4.9,kg,Clover Light Spread,20240117,fresh_food,False,4.8,4.8,3.75
Morrisons,13.0,l,Filippo Berio Mild & Light Olive Oil,20240117,food_cupboard,False,17.0,15.1,17.2
Morrisons,11.8,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240117,frozen,False,11.1,11.2,11.1
Morrisons,6.7,kg,Pip & Nut Smooth Peanut Butter,20240117,food_cupboard,False,6.3,10.3,6.7
Morrisons,2.8,kg,Yeo Valley Organic Strawberry Yogurt,20240117,fresh_food,False,4.3,5.7,5.0
Morrisons,5.8,kg,Pukka Minced Beef & Onion Pie,20240117,fresh_food,False,7.0,2.0,9.3
Morrisons,5.53,kg,Sharwood's Medium Egg Noodles,20240117,food_cupboard,False,5.53,8.85,11.1
Morrisons,6.67,kg,Quorn Vegetarian Steak Strips,20240117,frozen,False,8.33,6.0,6.66
Morrisons,5.6,l,Yakult Balance,20240117,drinks,False,7.1,7.1,7.2
Morrisons,4.9,kg,Clover Spread,20240117,fresh_food,False,3.0,4.0,3.75
Morrisons,7.93,l,Halo Top Sea Salt Caramel Ice Cream,20240117,frozen,False,7.4,11.4,7.9
Morrisons,210.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240117,health_products,False,215.0,215.0,160.0
Morrisons,11.7,kg,Ginsters Peppered Steak Slice,20240117,fresh_food,False,11.5,11.5,11.5
Morrisons,11.7,kg,Ginsters Chicken & Mushroom Slice,20240117,fresh_food,False,11.5,11.5,11.5
Morrisons,8.8,kg,Arla Protein Chocolate Flavour Pudding,20240117,fresh_food,False,6.2,8.8,6.3
Morrisons,5.9,kg,Pukka Beef Pasty,20240117,fresh_food,False,8.3,8.3,8.3
Morrisons,11.3,kg,Wagamama Katsu Curry Meal Kit,20240117,food_cupboard,False,11.3,18.42,18.4
Morrisons,21.27,kg,Saint Agur Blue Cheese,20240117,fresh_food,False,20.0,20.0,19.67
Morrisons,30.0,kg,Kenco Smooth Instant Coffee,20240117,food_cupboard,False,30.0,31.2,35.0
Morrisons,12.2,kg,Pringles Sour Cream & Onion Sharing Crisps,20240117,food_cupboard,False,12.2,11.7,12.2
Morrisons,12.2,kg,Pringles Original Sharing Crisps,20240117,food_cupboard,False,12.2,11.7,12.2
Morrisons,9.96,kg,Gressingham Duck Fat,20240117,fresh_food,False,12.6,12.6,12.0
Morrisons,12.2,kg,Pringles Salt & Vinegar Sharing Crisps,20240117,food_cupboard,False,12.2,11.7,12.2
Morrisons,33.22,kg,Squeaky Bean Spanish Chorizo Style Slices,20240117,fresh_food,False,26.11,31.67,33.33
Morrisons,10.3,kg,Princes Reduced Salt Corned Beef,20240117,food_cupboard,False,9.6,10.3,10.3
Morrisons,30.0,kg,Kenco Rich Instant Coffee,20240117,food_cupboard,False,30.0,31.2,35.0
Morrisons,17.4,kg,Bisto Best Beef Gravy Granules,20240117,food_cupboard,False,13.0,17.8,12.65
Morrisons,3.13,l,Black Sheep Ale,20240117,drinks,False,3.8,4.0,4.0
Morrisons,10.5,kg,Bisto Chicken Gravy Granules,20240117,food_cupboard,False,14.7,13.566666666666668,11.066666666666668
Morrisons,7.9,kg,Blue Dragon Sweet & Sour Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,13.5,kg,Blue Dragon Thai Green Curry Paste,20240117,food_cupboard,False,13.5,13.5,13.5
Morrisons,17.4,kg,Bisto Best Chicken Gravy Granules,20240117,food_cupboard,False,13.0,17.8,12.65
Morrisons,24.9,kg,Knorr Chicken Stock Cubes,20240117,food_cupboard,False,23.8,19.4,15.0
Morrisons,12.2,kg,Pringles Cheese & Onion Sharing Crisps,20240117,food_cupboard,False,12.2,12.2,12.2
Morrisons,17.2,l,Filippo Berio Extra Virgin Olive Oil,20240117,food_cupboard,False,13.3,14.033333333333333,17.2
Morrisons,12.5,kg,Colman's Horseradish Sauce,20240117,food_cupboard,False,8.8,12.5,12.5
Morrisons,7.9,kg,Blue Dragon Black Bean Stir Fry Sauce,20240117,food_cupboard,False,7.9,7.9,6.2
Morrisons,12.2,kg,Pringles Paprika Sharing Crisps,20240117,food_cupboard,False,12.2,12.2,12.2
Morrisons,12.2,kg,Pringles Prawn Cocktail Sharing Crisps,20240117,food_cupboard,False,12.2,12.2,12.2
Morrisons,10.5,kg,Bisto Onion Gravy Granules,20240117,food_cupboard,False,13.3,16.3,10.5
Morrisons,11.0,l,Colman's Seafood Sauce,20240117,food_cupboard,False,7.7,11.0,11.0
Morrisons,10.2,kg,French's Classic Yellow Mustard,20240117,food_cupboard,False,10.2,7.2,10.2
Morrisons,30.8,kg,Kenco Gold Indulgence Instant Coffee,20240117,food_cupboard,False,31.6,32.0,30.8
Morrisons,4.7,l,Lee Kum Kee Panda Oyster Sauce,20240117,food_cupboard,False,4.7,4.7,4.7
Morrisons,12.2,kg,Pringles Smokey Bacon Sharing Crisps,20240117,food_cupboard,False,12.2,12.2,12.2
Morrisons,11.7,kg,Pek Chopped Pork,20240117,food_cupboard,False,7.7,8.3,8.3
Morrisons,10.5,kg,Bisto Vegetable Gravy Granules,20240117,food_cupboard,False,14.7,16.3,10.5
Morrisons,13.3,kg,Maille Wholegrain Mustard,20240117,food_cupboard,False,13.3,13.1,13.1
Morrisons,6.8,kg,Whole Earth Crunchy Peanut Butter,20240117,food_cupboard,False,5.5,9.9,7.7
Morrisons,17.4,kg,Bisto Best Lamb Gravy Granules,20240117,food_cupboard,False,13.0,17.8,13.0
Morrisons,12.0,l,Napolina Olive Oil,20240117,food_cupboard,False,11.3,10.9,11.45
Morrisons,15.0,kg,Knorr Beef Stock Cubes,20240117,food_cupboard,False,23.8,23.8,15.0
Morrisons,8.8,kg,Ben's Plant Powered Spicy Lentil Stew,20240117,food_cupboard,False,6.14,8.77,6.14
Morrisons,7.0,kg,Betty Crocker Velvety Vanilla Cake Mix,20240117,food_cupboard,False,7.1,7.1,7.06
Morrisons,58.9,kg,Nescafe Azera Americano Instant Coffee,20240117,food_cupboard,False,38.9,52.1,39.3
Morrisons,12.0,kg,Bonne Maman Hazelnut Chocolate Spread,20240117,food_cupboard,False,12.0,13.0,11.0
Morrisons,6.79,kg,Whole Earth Smooth Peanut Butter,20240117,food_cupboard,False,5.5,8.35,5.5
Morrisons,7.2,kg,Betty Crocker Chocolate Fudge Brownie Mix,20240117,food_cupboard,False,7.2,7.23,7.23
Morrisons,7.0,kg,Betty Crocker Red Velvet Chocolate Cake Mix,20240117,food_cupboard,False,7.06,7.1,7.06
Morrisons,7.4,kg,Dorset Cereals Oat Granola Breakfast Cereal,20240117,food_cupboard,False,7.9,8.0,6.0
Morrisons,15.7,l,Yutaka Japanese Rice Vinegar,20240117,food_cupboard,False,14.0,14.7,14.3
Morrisons,9.9,kg,Betty Crocker Chocolate Chip Cookie Mix,20240117,food_cupboard,False,10.0,10.0,10.0
Morrisons,15.8,kg,Lavazza Qualita Rossa Coffee Beans,20240117,food_cupboard,False,15.6,16.700000000000006,15.0
Morrisons,7.04,kg,Betty Crocker Tempting Chocolate Cake Mix,20240117,food_cupboard,False,7.06,13.3,7.1
Morrisons,8.57,kg,Betty Crocker Peanut Butter Brownie Mix,20240117,food_cupboard,False,8.6,8.57,8.6
Morrisons,4.5,unit,Cherry Blossom Shoe Care Brush Set,20240117,household,False,4.5,4.2,4.25
Morrisons,0.7,kg,Elephant Atta Medium Chapatti Flour,20240116,food_cupboard,False,1.67,0.97,0.7
Morrisons,14.7,kg,Walkers Cheese & Onion Multipack Crisps,20240116,food_cupboard,False,13.3,11.75,11.0
Morrisons,14.7,kg,Walkers Ready Salted Multipack Crisps,20240116,food_cupboard,False,13.3,11.75,11.0
Morrisons,4.0,kg,Birds Eye Garden Peas,20240116,frozen,False,3.12,3.526666666666667,3.616666666666666
Morrisons,1.4,kg,Laila Basmati Rice,20240116,food_cupboard,False,2.1,2.1666666666666665,1.9833333333333327
Morrisons,1.0,l,Coca-Cola Zero Sugar,20240116,drinks,False,3.0,2.271428571428572,2.6
Morrisons,1.0,l,Pepsi Max Cherry No Sugar Cola Bottle,20240116,drinks,False,1.3,1.7666666666666668,3.5
Morrisons,11.3,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240116,food_cupboard,False,11.2,10.8,11.2
Morrisons,3.1,l,Schweppes Slimline Tonic Water,20240116,drinks,False,1.7,2.45,3.1
Morrisons,4.2,kg,Heinz Oxtail Soup,20240116,food_cupboard,False,4.2,4.2,2.5
Morrisons,45.8,kg,Kiddylicious Veggie Straws,20240116,baby_products,False,58.3,64.58500000000001,56.06666666666666
Morrisons,7.2,kg,Arla Protein Strawberry Yogurt,20240116,fresh_food,False,5.5,6.2,5.5
Morrisons,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240116,drinks,False,6.0,6.0,6.0
Morrisons,1.3,l,Schweppes Lemonade,20240116,drinks,False,0.7,2.7,1.3
Morrisons,14.7,kg,Walkers Salt & Vinegar Multipack Crisps,20240116,food_cupboard,False,13.3,13.0,11.0
Morrisons,1.0,l,Diet Pepsi Cola Bottle,20240116,drinks,False,3.1,0.9,3.5
Morrisons,3.1,l,Schweppes Tonic Water,20240116,drinks,False,1.7,2.45,3.1
Morrisons,2.6,kg,Tilda Pure Basmati Rice,20240116,food_cupboard,False,4.0,4.375,3.8
Morrisons,4.2,kg,Heinz Vegetable Soup,20240116,food_cupboard,False,4.2,4.2,3.3
Morrisons,2.67,kg,Batchelors Original Mushy Peas,20240116,food_cupboard,False,1.94,1.97,1.67
Morrisons,5.0,kg,Heinz Tomato Ketchup,20240116,food_cupboard,False,5.4,3.9,5.7333333333333325
Morrisons,14.7,kg,Walkers Prawn Cocktail Multipack Crisps,20240116,food_cupboard,False,13.3,13.0,11.0
Morrisons,20.3,kg,Cadbury Caramilk Golden Caramel Chocolate Bar,20240116,food_cupboard,False,15.0,13.633333333333333,15.0
Morrisons,3.0,kg,Vitalite Dairy Free Spread,20240116,fresh_food,False,3.4,4.0,3.0
Morrisons,1.0,l,Fanta Orange Zero,20240116,drinks,False,3.4,2.2,1.2999999999999998
Morrisons,4.39,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240116,food_cupboard,False,4.39,3.35,1.88
Morrisons,4.7,kg,Cofresh London Mix,20240116,food_cupboard,False,4.6,3.0,4.0
Morrisons,1.0,l,Dr Pepper Zero,20240116,drinks,False,3.4,2.2,1.2
Morrisons,7.2,kg,Arla Protein Blueberry Yogurt,20240116,fresh_food,False,5.5,6.2,6.3
Morrisons,2.0,l,Coca-Cola Original Taste,20240116,drinks,False,3.0,3.1285714285714286,3.4571428571428577
Morrisons,1.0,l,Pepsi Max No Sugar Cola Bottle,20240116,drinks,False,3.1,1.7666666666666666,3.5
Morrisons,4.2,kg,Heinz Chicken Noodle Soup,20240116,food_cupboard,False,4.2,4.2,2.5
Morrisons,5.3,kg,Dolmio Lasagne Creamy White Sauce,20240116,food_cupboard,False,3.7,4.55,4.6
Morrisons,2.2,l,Innocent Apple Juice,20240116,drinks,False,3.3,3.3,3.3
Morrisons,28.0,kg,Sudocrem Antiseptic Healing Cream,20240116,health_products,False,23.8,38.66666666666666,33.4
Morrisons,4.2,kg,Heinz Minestrone Soup,20240116,food_cupboard,False,4.2,4.2,4.3
Morrisons,3.9,kg,Heinz Seriously Good Mayonnaise,20240116,food_cupboard,False,6.75,4.4,6.466666666666666
Morrisons,5.8,kg,Pukka Minced Beef & Onion Pie,20240116,fresh_food,False,7.0,2.0,9.3
Morrisons,1.0,l,Fanta Orange,20240116,drinks,False,1.0,2.24,2.08
Morrisons,22.6,kg,Quaker Oat So Simple Golden Syrup Porridge Pot,20240116,food_cupboard,False,22.6,22.8,16.7
